id;full_name;road_segment_wkt
606114469;Northern Mtwy;LINESTRING(174.76028 -36.80417,174.76041 -36.80389)
606114470;Northern Mtwy;LINESTRING(174.76043 -36.80419,174.76053 -36.80397)
606114471;Northern Mtwy;LINESTRING(174.76009 -36.80453,174.76028 -36.80417)
606114472;Northern Mtwy;LINESTRING(174.76022 -36.80458,174.76043 -36.80419)
605961478;Northern Mtwy;LINESTRING(174.74429 -36.77469,174.74387 -36.77401,174.74337 -36.77316,174.74301 -36.77252,174.74267 -36.77189,174.74262 -36.7718)
605964923;417;LINESTRING(174.74429 -36.77469,174.74396 -36.77443,174.74383 -36.77424)
606092275;Northern Mtwy;LINESTRING(174.74514 -36.7761,174.74429 -36.77469)
606097428;Northern Mtwy;LINESTRING(174.74492 -36.77546,174.74464 -36.77502)
606121831;;LINESTRING(174.74402 -36.77713,174.74403 -36.77703,174.74404 -36.77694,174.74404 -36.77682)
606211389;;LINESTRING(174.74049 -36.76982,174.74056 -36.76981,174.74062 -36.76977)
606211391;;LINESTRING(174.74062 -36.76977,174.74063 -36.76971,174.74061 -36.76966)
606211392;;LINESTRING(174.74061 -36.76966,174.74057 -36.76962,174.7405 -36.7696,174.74043 -36.76961,174.74038 -36.76963)
606211393;;LINESTRING(174.74049 -36.76982,174.74042 -36.76981)
606211395;;LINESTRING(174.74061 -36.76966,174.74065 -36.76961,174.7407 -36.76958)
605978198;;LINESTRING(174.75419 -36.81115,174.75512 -36.81042)
606104454;Northern Mtwy;LINESTRING(174.7235 -36.74755,174.72341 -36.74742,174.72321 -36.74714)
606105468;Northern Mtwy;LINESTRING(174.72336 -36.74758,174.72306 -36.74716)
605950370;;LINESTRING(174.71663 -36.73574,174.7168 -36.73577,174.71715 -36.73593,174.71728 -36.73596,174.71742 -36.73595,174.71753 -36.73591,174.71761 -36.73586,174.71768 -36.7358,174.71772 -36.73575,174.71774 -36.73568,174.71773 -36.73555,174.71771 -36.7355)
605977523;;LINESTRING(174.71735 -36.73619,174.71663 -36.73574)
606049913;Northern Mtwy;LINESTRING(174.71898 -36.73769,174.71884 -36.73734,174.71874 -36.73709,174.71857 -36.73672,174.71843 -36.73641,174.71822 -36.73599,174.71802 -36.7356,174.71795 -36.73547)
606104451;Northern Mtwy;LINESTRING(174.719 -36.73809,174.71885 -36.73769)
606104452;Northern Mtwy;LINESTRING(174.71885 -36.73769,174.71872 -36.73736,174.7186 -36.73709,174.71846 -36.73677,174.71831 -36.73645,174.71812 -36.73605,174.71791 -36.73565,174.71778 -36.73541)
606104453;Northern Mtwy;LINESTRING(174.71913 -36.73808,174.71898 -36.73769)
606208964;;LINESTRING(174.71774 -36.7365,174.71735 -36.73619)
606212185;;LINESTRING(174.71782 -36.73434,174.71781 -36.73426,174.71784 -36.73418,174.71792 -36.73411)
606212188;;LINESTRING(174.71804 -36.73444,174.71815 -36.73442)
606212189;;LINESTRING(174.71775 -36.73455,174.71785 -36.73451,174.71791 -36.73449,174.71796 -36.73447,174.71804 -36.73444)
605971071;Northern Mtwy;LINESTRING(174.74547 -36.77633,174.74529 -36.77605,174.74492 -36.77546)
605993654;;LINESTRING(174.74336 -36.77581,174.74358 -36.77574,174.74363 -36.77575)
606092274;Northern Mtwy;LINESTRING(174.74559 -36.77681,174.74514 -36.7761)
606094518;Northern Mtwy;LINESTRING(174.74775 -36.78025,174.74752 -36.77989)
605998548;;LINESTRING(174.71339 -36.7181,174.71332 -36.71801)
606121436;;LINESTRING(174.71237 -36.71903,174.71223 -36.71878)
606121438;;LINESTRING(174.71237 -36.71903,174.71221 -36.71898,174.71208 -36.71897,174.7119 -36.71898)
605947476;;LINESTRING(174.71815 -36.73442,174.71823 -36.73435,174.71826 -36.73426,174.71821 -36.73417)
605955928;;LINESTRING(174.71771 -36.7355,174.71769 -36.73545,174.71764 -36.73536,174.71738 -36.7349,174.71706 -36.73433,174.71688 -36.73395)
606058259;Northern Mtwy;LINESTRING(174.71756 -36.73502,174.71745 -36.73483,174.71727 -36.73454,174.71708 -36.73423,174.71688 -36.73395)
606083450;Northern Mtwy;LINESTRING(174.71778 -36.73541,174.71756 -36.73502)
606104448;Northern Mtwy;LINESTRING(174.71688 -36.73395,174.71669 -36.73365,174.71652 -36.73337,174.71636 -36.73309,174.71625 -36.73288,174.71612 -36.73263,174.71596 -36.73231,174.7158 -36.73193,174.71565 -36.73157,174.71551 -36.73118)
606104449;Northern Mtwy;LINESTRING(174.71795 -36.73547,174.71789 -36.73536,174.71777 -36.73514,174.71766 -36.73496,174.71753 -36.73474,174.71739 -36.73451,174.71719 -36.73419,174.71703 -36.73391)
606104450;Northern Mtwy;LINESTRING(174.71703 -36.73391,174.71685 -36.73362,174.71666 -36.73331,174.7165 -36.73303,174.71639 -36.73283,174.71627 -36.73258,174.71611 -36.73227,174.71595 -36.73189,174.7158 -36.73152,174.71567 -36.73116)
606208963;;LINESTRING(174.71795 -36.73669,174.71774 -36.7365)
606092273;Northern Mtwy;LINESTRING(174.75281 -36.78803,174.75201 -36.78675,174.75138 -36.78574)
